Gene	Stat	Length
Galnt11	-3.81692525253444	537
Dapk1	-3.8169022118335	1324
Rab9	-3.81619648297369	456
Mterfd1	-3.81554292661386	2977
C87436	-3.81458237330489	1328
Fermt2	-3.81434249059769	1117
Gsto1	-3.8115239682226	1005
Wdr82	-3.81147257734338	3081
Sf3b4	-3.80905185374308	774
Ankrd28	-3.80631293150009	3240
Zbtb22	-3.80552412482941	526
Plxnc1	-3.80544654104502	3257
Lamb1	-3.80244261995482	3049
Mrps16	-3.80134363053933	96
Tmem255a	-3.8009464198668	3037
Kmt2d	-3.79911338311028	2831
Wbscr22	-3.79824004253798	1829
BC017158	-3.79777698298248	2049
Shprh	-3.7976557031238	9890
Prkrip1	-3.79639856381511	3368
Sec22a	-3.79611593676758	4328
Rnf40	-3.79435872894303	2667
Kti12	-3.79261624703345	466
Pkd1	-3.79194633062253	1585
Epb4.1l2	-3.79171231124045	1261
Paqr4	-3.7901532502899	1380
Ctps2	-3.78968157363595	3741
Alkbh7	-3.78930594020404	407
Fam13a	-3.78837227757737	4074
Ppa1	-3.78816345797857	1845
Vps33b	-3.78679286604369	1778
Gabrd	-3.78418068458921	782
Dpm1	-3.78130469549861	2001
Impad1	-3.78107807849009	5219
Prmt3	-3.77450885219581	4052
Ptpn12	-3.77186219470986	1518
Nupl2	-3.77171254600537	3043
Tmx2	-3.77122801162028	1221
Tbl3	-3.77070409382917	2960
Bid	-3.77064665667496	2657
Sep15	-3.76986623438213	1390
Nanos1	-3.76911427299544	2845
Slc30a1	-3.76720985830067	3800
Tab2	-3.76702475352499	1929
Vat1	-3.76508632168018	3282
Psen2	-3.76385649623934	1947
Fam122a	-3.7630413906758	2013
Eral1	-3.76254046295344	896
Faim	-3.76204808300328	525
Eif2b4	-3.76177379319707	936
Ube2g1	-3.76166124859214	3730
Aph1b	-3.76076712882458	4179
Nyap1	-3.7596984447715	799
Psen1	-3.75849384416546	5329
Sorcs2	-3.75826972684744	4873
Armc6	-3.75477752429766	2074
Rbfa	-3.75274356534576	216
Nsfl1c	-3.75087438501913	2484
Smarcad1	-3.74739931627645	2054
Ttll12	-3.74506716043683	2275
Slc35a5	-3.74411376309292	6989
Aarsd1	-3.74329692253281	4948
Spry1	-3.74272135490514	1048
Dync1li1	-3.74231420112704	2321
Spcs3	-3.74026111511208	2830
Chd9	-3.74024971344961	4244
Phc2	-3.7400161225456	3774
Map7d2	-3.73948569316571	1555
Lnp	-3.73937615580063	12283
Rexo4	-3.73929336253687	2271
Numbl	-3.73830470494057	2617
Cdkn2d	-3.73810735582483	510
Gapvd1	-3.73666092620631	6194
Srsf2	-3.73650385200843	1065
Papd5	-3.73441758213856	2553
Nedd9	-3.73097940441558	1745
5330438D12Rik	-3.72976883255343	1645
Mcoln1	-3.72974605412695	823
Arl6	-3.72929456281318	870
Wbscr27	-3.72562511174608	2061
Yy1	-3.72503234604546	4595
H3f3b	-3.72477985477891	1623
Tdrd7	-3.72106145437476	1107
Ylpm1	-3.72023221392613	2859
Icmt	-3.71748461609258	4323
Nek9	-3.71667057582155	2290
Srpr	-3.71488025063961	1402
Fyttd1	-3.71479649682954	4384
Dlg5	-3.71470804768756	1876
Snx13	-3.71223528816423	4526
Ets2	-3.71206285316631	2984
Tab3	-3.71073146523161	3991
Rnf115	-3.70952517058692	1149
Emc3	-3.70831658154017	1234
2410127L17Rik	-3.70827608348409	3279
Dpf2	-3.70772708324109	4991
Tbl2	-3.70760436363147	4704
Slc38a2	-3.70701755969716	2798
2810001G20Rik	-3.7065695791398	607
Psma5	-3.7050600618697	240
Exosc3	-3.70296392290763	757
Vars	-3.70230310492583	2591
Fbxo11	-3.70094729671985	1358
Megf8	-3.69942188186553	2596
Sidt2	-3.69842980240442	2095
Ik	-3.69779345038937	205
Slc37a4	-3.69563296307783	500
Nutf2	-3.69463615065537	1484
Mettl23	-3.69093196328275	1765
Gnptab	-3.69066236920792	2338
1110038B12Rik	-3.68989233375352	968
Casp3	-3.68896034784158	2223
2700050L05Rik	-3.68844764148386	2190
Mnat1	-3.68728838381714	3840
Nans	-3.68528460153332	3492
Rcbtb2	-3.68441323998008	5028
Dnaja1	-3.68156119987401	5411
Vbp1	-3.68043436289221	1560
Stx5a	-3.68037163340975	4938
Fdx1	-3.67966021480645	3399
Tmem38b	-3.67909985679436	2512
Ubald1	-3.67806794446175	741
Elovl7	-3.6772429430801	4426
Gpsm1	-3.67468505777617	2460
Tmem117	-3.67271644380171	3243
Abcf3	-3.67201898006933	1662
Asic1	-3.67095904309248	1992
Rmdn1	-3.66982938807768	978
Surf4	-3.66937643550504	2075
Txndc5	-3.66915449470531	1438
Sptbn4	-3.6679934658253	1462
Epg5	-3.66739479385398	4295
Zfp110	-3.66712161883215	1667
BC018242	-3.66230381852376	1271
Nrbp2	-3.66134072136304	1578
Gm26879	-3.65861788118948	674
Fbxl2	-3.65841235622301	2785
Rab23	-3.65726985584077	7068
Rassf3	-3.65689256252206	2586
D19Ertd737e	-3.65600869036923	3760
Bad	-3.65352160173486	687
Acap2	-3.65264257699601	3933
Ubp1	-3.64859556958786	1818
Llph	-3.64666297456575	699
Ubac2	-3.64632141252177	978
Prss36	-3.64627436673596	477
Clvs2	-3.64625442355962	5469
Dpp10	-3.64605075648587	2255
Utp11l	-3.64572779641722	826
Paics	-3.64533806766529	1406
Stx12	-3.64448525675105	2836
Plekha1	-3.64346151611643	7099
Bckdhb	-3.64314025093869	272
Bloc1s5	-3.6423367902358	1225
2210015D19Rik	-3.64148462185064	2854
Dhx29	-3.64066908212166	3217
Mepce	-3.64012168993598	765
Chmp6	-3.63938931966286	946
Ggt7	-3.63809985606807	1133
Tssc1	-3.63757319650526	2766
Tmem18	-3.63725933208096	2472
Nxph2	-3.63697387207991	1550
0610010F05Rik	-3.63547278734207	2539
Tcerg1	-3.63395999531298	1267
Paip1	-3.63330828426735	3591
Mphosph9	-3.63234172025893	5679
Specc1l	-3.6320016296915	5181
March8	-3.63189760558481	5022
Bnip2	-3.63160673327414	5697
Zdhhc9	-3.62993313103045	6010
Mki67ip	-3.62953477295883	890
Ctps	-3.62864173443328	1642
Pim2	-3.6282407499992	1765
AK019420	-3.62731892049805	1101
Gtf2b	-3.62680022334149	276
Gmpr	-3.62676486275481	494
Mid1ip1	-3.62393714501463	975
Tbc1d7	-3.62318928178447	2088
Dusp12	-3.62315055875059	1176
Esrrg	-3.62158690954616	4164
Nptn	-3.62054717049047	3849
Mat2a	-3.62013939032626	2178
B3galtl	-3.61999898557829	3265
Sgpl1	-3.61926897429551	3337
Asb6	-3.61918084461082	1384
Atl1	-3.61515315297149	819
Slc7a5	-3.61509613883259	2055
A630007B06Rik	-3.61358158661477	4146
Dhx32	-3.61325199149305	1121
Inpp5b	-3.61280603676269	954
Pik3cb	-3.61089398155009	1449
Eapp	-3.61049018717531	1960
Dcaf12l1	-3.60555399497136	1727
Nsmce2	-3.60539069806073	2365
Tgfbr2	-3.60438944473478	2683
Tmem179b	-3.60431964591965	313
Gorasp1	-3.60286380459101	2101
Dffa	-3.60224014529501	2564
Prkaa1	-3.59930991744349	2967
Fkbp1b	-3.59847307203612	493
Mrps27	-3.59812156297128	583
Aacs	-3.59722503466317	1223
Impdh2	-3.59703647547381	47
AI597479	-3.59670613592144	2705
Endod1	-3.59462227999073	2692
Sema6a	-3.59016177422767	4957
Psph	-3.58865784250825	3031
Suox	-3.5858151983912	630
Fam203a	-3.58362299604799	727
Fip1l1	-3.58344224306258	7232
Gdpd5	-3.58209908389372	1746
Baiap2l2	-3.58142318025542	753
Ints1	-3.58018628089524	537
Yeats4	-3.5784212828768	696
Gm15542	-3.57764309910529	1194
Scnm1	-3.5763594049056	414
Cdk10	-3.57619207091959	525
Ccdc41os1	-3.57592258152135	3637
Ldlr	-3.57588847833083	3374
Rimkla	-3.57506948517017	2842
AK140926	-3.57485052845176	5076
Dmxl2	-3.5743886138274	3497
Kcnd1	-3.57344091526796	2444
Cct6a	-3.57233501462466	628
Atp1b3	-3.57023311532437	849
Hace1	-3.56919813469369	1094
Stk4	-3.56727780607569	3902
Plk2	-3.56590565874826	620
Pdzd11	-3.5657539593108	4076
Mrps30	-3.56476519284455	2789
Kcnip1	-3.56198441570257	2571
Them4	-3.55999431121881	3499
Gm16039	-3.55985575203782	8298
Ciapin1	-3.55847808154815	7323
Ppp2r5d	-3.55761867524759	1189
Smarce1	-3.55732507659767	4777
Nsun4	-3.55672311296777	3191
Pex3	-3.5565328251825	3505
Zfp707	-3.55475074184622	2326
Tex264	-3.5543477335971	532
Gm15706	-3.55399307785695	645
Adh5	-3.55290165990696	1161
Cdo1	-3.54982858126532	727
Lgals8	-3.54910307150384	1680
Mir686	-3.54814083520926	109
Rangrf	-3.54769674670845	545
Lrrc14	-3.54709751628376	3618
Slc25a1	-3.5458037687746	1494
Sergef	-3.54477935374932	3085
Pgbd5	-3.54337662470847	1530
Phospho2	-3.54254515270659	1775
Spata5	-3.53929815320572	932
Slc35b1	-3.53581350480557	929
Trappc8	-3.53517809393171	1076
Sart1	-3.53481469637073	2594
Fam96a	-3.53278777434534	632
Kctd2	-3.53274120210225	3636
Dcun1d1	-3.53211853066858	12938
Ftsj1	-3.53034383298732	3181
Tmem56	-3.53001145244683	5473
Zfp592	-3.52911323373438	4095
Polg	-3.52775907551274	3657
Zfp688	-3.52552926334802	675
C77370	-3.52281143779819	6417
Cd47	-3.51890758240313	4131
Chmp2a	-3.51790568542012	69
Glt8d1	-3.5163067412592	1115
Dlx1	-3.51623056970128	1717
Tspyl1	-3.51491775066888	1465
Ankrd16	-3.513963266923	2455
2610507I01Rik	-3.51385078283138	2509
Yipf3	-3.51093985818566	1395
Iqcb1	-3.50949896800752	3061
Kcns3	-3.50916021261512	1019
Arsa	-3.50829316495415	1256
Phyh	-3.50728392686813	781
Lyar	-3.50714413103779	1181
Pip4k2a	-3.50671796807654	2180
Ube2k	-3.50613821945044	4112
Mad2l1bp	-3.50506479610336	387
Chchd4	-3.50458021648491	739
Phf5a	-3.50393838050829	1376
Slc25a17	-3.5018639046832	708
Ambra1	-3.50087413439741	2127
AK084251	-3.50075966090005	1646
Slc2a3	-3.49960067227476	2369
Hnrnpa0	-3.49894765238188	1517
Chm	-3.49516525714748	5010
Gm10419	-3.49506804247553	4053
Ogt	-3.4948483116924	4641
Gpr3	-3.49474166400579	1027
Lrrtm2	-3.49321399234245	3694
Mesdc2	-3.49282095755004	3782
Fam20c	-3.49221515827374	1058
AK202543	-3.49214114331227	399
Strada	-3.49192517788318	4255
Prex2	-3.49085727254111	6299
Grin2a	-3.49055152429079	14026
Ccnh	-3.49023092463093	1992
Mkrn2	-3.48971426446166	939
Rab34	-3.48862882582702	1166
Exoc3	-3.48753766222465	2268
Simc1	-3.48665227462558	1467
Cd3eap	-3.48649393663199	1364
Tmem189	-3.48626176702075	2116
Atg3	-3.48417724287522	878
Dclk2	-3.4840795466254	1766
Srpk1	-3.4836400092887	6837
Mrpl35	-3.48313295199559	3102
Nek1	-3.48283046347934	3972
Rbm10	-3.48197513445801	274
Tsen15	-3.48164407895102	723
Dnajb9	-3.48123627836939	1057
Leng1	-3.48059247670673	1043
Cdc25a	-3.47523873280879	2018
Med10	-3.47395836084279	405
Orc4	-3.47206888096119	5392
Camk1g	-3.47145945374056	1574
Qpctl	-3.46879101013213	1514
Tmem41a	-3.46838890462322	719
Dzip3	-3.46771162038791	2623
Tysnd1	-3.46765405216081	740
Tor2a	-3.46759413495313	845
Fam35a	-3.46711864624174	4091
Scg5	-3.46647545654584	720
Krba1	-3.46377245765795	3647
Hivep2	-3.46291839595826	1642
Kif13a	-3.46262600535442	1540
Rab3gap1	-3.4619437303555	3721
C1d	-3.46144416822278	3118
Plbd2	-3.45983169292058	2758
Atp11a	-3.45904935433477	6201
Grwd1	-3.45786702469408	870
Ifnar1	-3.45658474154101	7222
B3gnt1	-3.45647071129183	1503
Seh1l	-3.45491175722178	2900
Bscl2	-3.45383233092237	888
Uprt	-3.45361905327697	5964
Dars	-3.45313785643468	757
Tapt1	-3.45122110316073	3212
Ncoa3	-3.44997955934496	3598
Sssca1	-3.44919488515674	2869
Ttc39b	-3.44882988343147	7285
Eif3l	-3.44625006628832	161
Cog3	-3.44524580469729	1680
Omg	-3.44470237593122	717
Fahd1	-3.44438625780131	522
Emc2	-3.44244091611145	5702
Xkr4	-3.44080419877419	2956
Picalm	-3.43892780560935	5288
Slu7	-3.43816774114019	2072
Atg4b	-3.43774882589232	2872
Tars2	-3.4372508328654	2381
Cmtm4	-3.43721655437198	6936
Zdhhc17	-3.43543322490766	3086
Cyb561d2	-3.43432462991216	871
Psma1	-3.43306394431049	1174
Creld1	-3.43280059653808	2237
Kat8	-3.43102833649124	594
Gabra1	-3.43038486274406	2889
Mb21d2	-3.43010244872918	1569
Kifap3	-3.42831532001529	1385
Bckdk	-3.42766060218032	2340
Spryd4	-3.42656703858651	945
Pak1ip1	-3.42220742607433	1071
Ankrd37	-3.42127152291813	581
Eif4g1	-3.42126725799881	2697
Srek1ip1	-3.421028978116	1909
Impdh1	-3.41751067731916	1031
AK035037	-3.41473872497382	3075
Cirh1a	-3.41419895965012	113
Mafb	-3.41333813348323	2028
Fxn	-3.4130355226797	2209
Ndufs3	-3.41271835348222	1116
Ptprf	-3.41144942254547	2510
Adamts17	-3.41025655880672	3815
Pom121	-3.40945136971837	1937
Siah3	-3.40900925945816	3608
Creb3	-3.40674604041767	676
Uba3	-3.40631141878759	1219
Cox16	-3.4036553555529	3646
Nmnat1	-3.40360736880753	1223
Lclat1	-3.40290073677024	3650
Smad9	-3.40047591381902	4299
Chmp4b	-3.40043926907653	842
Plgrkt	-3.3997045131931	1406
Fbxo45	-3.39942220642364	2971
2610203C20Rik	-3.39889730888034	9545
Scn3b	-3.39872034349208	3635
Tmem68	-3.39868067460387	1948
Nt5m	-3.39858878980847	2362
Zfp62	-3.39824673972933	2329
Coq10b	-3.39648304142618	899
Hectd3	-3.39620841098983	2429
Tpst1	-3.39601219902708	526
Mkrn3	-3.39354406430471	814
Stk38l	-3.39268044118722	3092
Cenpt	-3.39231657394185	309
Actr10	-3.39178417539723	2670
Csrp2	-3.3906640436372	312
Ccdc86	-3.389982524826	1809
Sap130	-3.38995977862017	2006
0610009D07Rik	-3.38973340652068	556
Mllt4	-3.38908877190395	3792
Lsm10	-3.38789117734864	363
Sugp1	-3.38756348177171	3387
Lyrm1	-3.3859790675846	5917
Mboat2	-3.38593074320901	5234
Slc24a5	-3.38535443149209	587
Pcyt1b	-3.38482904381377	3612
Snrnp48	-3.38352387582559	4973
Rfwd3	-3.38082105385029	2590
Tet2	-3.38000342414068	3060
Rap1gap	-3.37968903537293	1875
Ptcd2	-3.37958544753213	520
Ccdc85b	-3.37918469856653	3822
Tasp1	-3.3788384358519	2464
Zfp422	-3.37842529966391	2306
Me2	-3.37828883452095	7239
Pard6a	-3.37690034310351	132
Rnpepl1	-3.37600974646962	10166
Scamp1	-3.37581499477517	5633
9930013L23Rik	-3.37562076045902	8514
Lysmd2	-3.37517020676771	519
Sc5d	-3.37502914365605	3906
Arih2	-3.37436611376945	3057
Efcab14	-3.37430370326069	5901
B4galt3	-3.37396223108011	1629
Ufsp1	-3.37099155669101	221
Tmem169	-3.37059062785892	1798
Psmd9	-3.37022727572706	3776
Pdcd2	-3.36853620982269	1562
Mettl16	-3.36670664658141	11459
Papss1	-3.365337951004	569
Nudt16	-3.36511834686101	993
Kcns2	-3.36440939517568	3489
Chst10	-3.36368918765324	5422
Zfp207	-3.36355889056294	4960
Pspc1	-3.36319507168669	2368
Kptn	-3.36316475345174	1436
Lrp12	-3.361984758562	1742
Lrrc7	-3.36136297983715	1652
Ninj1	-3.36071675960037	679
Ctnnd1	-3.35933615944569	17213
Tldc1	-3.35753914264492	2421
Cdc23	-3.35671019991464	7846
Uros	-3.35507797089973	1223
Cd2bp2	-3.35340602130235	2159
Prkra	-3.35290755431158	608
Osbpl8	-3.35195643818256	5634
Ssbp1	-3.35084997810904	2149
Cnep1r1	-3.35055355836922	2373
Aph1c	-3.35048600325537	4300
Ino80d	-3.3503930026574	10397
Usp16	-3.35033539533771	4889
Zrsr2	-3.35019822403575	5070
Samm50	-3.35004458357171	3109
Erp29	-3.34925273968234	7957
Ptdss1	-3.34711722196869	1324
Naa15	-3.34627116148149	6053
Hp1bp3	-3.34388568288238	3454
Zfp532	-3.34348929389355	8394
Slc15a4	-3.34272142256598	11062
Ankrd9	-3.34130037041365	1321
Dcakd	-3.34004778315517	1560
Spns1	-3.33961388815675	872
Ltv1	-3.33645836758491	248
Fopnl	-3.33454493921702	1790
Adcy6	-3.33434417662054	2490
Dhx16	-3.3341414814081	795
Ipo11	-3.33346071350274	2325
Ncln	-3.33215995345547	2163
Avpi1	-3.33212232542123	416
Tmem70	-3.33188598467788	1202
Zdhhc8	-3.33145964970398	2788
Fam193a	-3.3313344289682	2589
Trim62	-3.32793063443414	2835
Mtx1	-3.3268522271135	1930
Taf5l	-3.32660805519022	996
Rpe	-3.3262926047128	2134
Lonp2	-3.32522748892462	1824
Sec22b	-3.32205331101091	3161
Vstm2b	-3.32114140974028	507
B630019K06Rik	-3.32051017094036	1205
Camk1d	-3.3202792806113	9830
AI597468	-3.32007743611633	3451
Zranb2	-3.31834740812741	1715
Etohi1	-3.31791141421606	6308
Atp6v0a2	-3.31779595862249	3163
Rpp30	-3.31755055723046	328
Snapc4	-3.31716587366426	2467
Tada2a	-3.31632212760841	1977
Cbfb	-3.3155339464763	2062
Wrap73	-3.31534520985205	1442
Klhdc1	-3.31500986197634	1627
Vipas39	-3.31394693761922	1795
Ankrd32	-3.31022033010089	2295
Calcoco1	-3.3097401139146	1855
Golt1b	-3.30821286360686	3911
Fer	-3.30818555780421	8416
Lsm14a	-3.3076460712256	1313
Prr16	-3.30665562471251	6357
Mycn	-3.30656838904961	1404
Itfg3	-3.30635946760644	1802
Safb	-3.30559550916652	2102
Noc2l	-3.30360662951558	2683
Fkbp14	-3.30313985765339	3343
Ryr2	-3.30273171773955	2811
Slc25a29	-3.30214281275988	1419
Imp4	-3.30165651468616	5992
Pcyt2	-3.30072819671196	3185
Samd4b	-3.29997740351248	2067
Ptcd1	-3.29977345569373	954
Bcl2	-3.29847603674837	5593
Tbc1d10b	-3.29782153600733	2781
AK212603	-3.29705887598929	454
Asah1	-3.29620179718164	1488
Tenm1	-3.29612277139879	8988
Rmi1	-3.29481642660662	1360
Vkorc1	-3.29476952427839	226
Kpna4	-3.2932384791142	6939
Tpr	-3.29307945061662	1678
Zhx1	-3.29258952154627	2722
Sptlc1	-3.29160263331413	2467
Hdac6	-3.29134657273022	1313
Zfp787	-3.29120888491094	950
Zfp942	-3.29120553130389	3332
AK162786	-3.29093397294425	2137
Zkscan4	-3.29035298077095	771
Ccdc91	-3.28893239696701	1080
Farsb	-3.28815989005215	714
Clpx	-3.28787343537306	2949
Pias2	-3.28755645178242	3260
Vdac3	-3.28747567595067	436
Nelfa	-3.28681655126529	3317
Plcb4	-3.28648562854443	4338
Aldh18a1	-3.28627609370748	1595
Surf6	-3.28395779774763	2945
Dph7	-3.28349802306233	2221
Cul3	-3.28340291393964	3765
Extl2	-3.28272012675825	5074
Dnajc14	-3.28258964611083	3411
Bag4	-3.28257900028832	3386
Cbx8	-3.28089671516562	2838
Ssb	-3.27731164524427	725
Slc35a4	-3.27695899145796	1388
Osgin2	-3.27653229877154	4884
Zfp64	-3.27642840388734	2061
Mest	-3.27490797957683	1753
Cyth2	-3.27396807675666	1482
Fbxl12	-3.2724258561517	1455
Cpped1	-3.27049918080004	4334
Mfap3	-3.26921865860189	4804
H2afv	-3.26819002151262	1144
Rbbp9	-3.26813278268153	1707
Ndfip2	-3.26784902778311	4126
Cfdp1	-3.26712799998278	224
Rpa2	-3.26657512636177	2264
Mtmr1	-3.2658639725388	3153
Nsun5	-3.26537125966135	1650
Rxrb	-3.26407061661606	2250
Fgd1	-3.26376368195841	1932
Hmgcr	-3.26362217509874	6076
Alk	-3.26223623714205	2869
Idh2	-3.26182841526634	1215
2610001J05Rik	-3.26160505145401	2795
Acvr1b	-3.26113956216962	4242
Man2c1	-3.26098180919342	4473
Elovl5	-3.25973347632589	2303
Fads1	-3.25837461937478	2425
AK218936	-3.25671199541474	396
0610007P14Rik	-3.25542615127082	3898
Alkbh5	-3.25498479637115	4227
Usp19	-3.25431331103104	882
D19Bwg1357e	-3.25419355510376	4492
Rnf6	-3.25391911753532	1010
Adam10	-3.25294439657978	2229
Gm12989	-3.25244138170888	731
5031425E22Rik	-3.25199335897844	34969
Med17	-3.25198998456251	1876
Zscan26	-3.25187176376571	2755
Nktr	-3.25087287811954	8805
Sigmar1	-3.25024703045766	3656
Cep63	-3.24973533194372	4596
Vopp1	-3.24967661492809	8934
Exosc9	-3.24925606398692	3567
Sec22c	-3.24913190316023	4932
Gjd2	-3.2479840237546	1428
Fbxo8	-3.24647746671387	5064
Nol3	-3.24626154700473	2037
Smg8	-3.24575080267118	351
Tmem33	-3.24533371871915	5833
Klhl5	-3.24269196761904	2718
Zfp687	-3.24246548425137	1624
Dhcr7	-3.24236379472901	1681
Zfp579	-3.24090298628997	1099
Mrpl41	-3.23990290868698	1780
Terf2ip	-3.2390558517078	3617
Zfp617	-3.23868512677024	1485
Gnl3l	-3.23688424015211	3670
Siah2	-3.23504460755315	1216
Chic1	-3.23462633832819	6608
Cyth3	-3.2332723625551	2344
Hif1a	-3.23205225567942	3323
Rcn2	-3.23159649847562	3677
Epm2a	-3.23085585203453	4251
Tbc1d5	-3.23027483658772	6815
Bnip3	-3.23013090395127	3695
Nr3c2	-3.22973261423103	2733
Dars2	-3.22893379756598	2286
Lmbrd2	-3.22613145070292	5776
Gphn	-3.22600974287057	858
Tkt	-3.22531125945446	3221
Gfm1	-3.22459840293818	1975
M6pr	-3.22328019143311	1352
Thoc5	-3.22304660706252	650
Ahsa1	-3.22298499509398	234
Ctdnep1	-3.22293412240393	692
Edc4	-3.22268011540853	740
Keap1	-3.22233580057355	1813
Recql	-3.22220954352341	2652
Ech1	-3.22197141038503	1059
Sox1	-3.22105974439456	2589
Ccdc106	-3.22024431586737	1290
Zrsr1	-3.21987464319217	2935
Cldn12	-3.21820839029367	2807
Ino80	-3.21768561573417	1586
Il1rapl1	-3.21686242128149	6486
Fam185a	-3.21681266581904	2696
Ppapdc3	-3.21597338495382	1211
Rabl2	-3.2142824830606	2242
Astn1	-3.21421248244899	3901
Lpcat1	-3.21250461742067	2478
Atp5s	-3.21144874361957	825
Mrps9	-3.21074553843995	2575
Zfp830	-3.20979652038043	2159
Mcat	-3.20960958985099	723
2310047M10Rik	-3.208311510147	696
Vhl	-3.20657315868026	2248
Dak	-3.20644667317307	1478
Rbbp5	-3.20620948791294	1872
Blvra	-3.20463580428583	1117
Phf17	-3.20309583846989	2861
Zkscan1	-3.20223612421115	6339
Rbm26	-3.20109143971908	4503
Fkbp3	-3.19964036355309	254
Ncor2	-3.19884412021471	2029
Calr	-3.19857507020106	1909
Strip2	-3.19803754287122	5625
Txnrd1	-3.19793024554051	1679
Ciao1	-3.19733692853618	2168
Txndc9	-3.19631417893251	4984
Cntn2	-3.1960415016233	6109
Csk	-3.19490782617323	675
Vps53	-3.194242488176	5783
Hexim2	-3.19338664009928	842
Zc3h10	-3.19129197069208	2956
Kctd7	-3.19013261832961	3395
Ntmt1	-3.18924846817542	2482
Ankrd13b	-3.18905387646875	1893
Trappc2	-3.18865428191982	3183
Csnk1a1	-3.18796863171127	10433
Vps13a	-3.18794607641207	7661
BC030336	-3.18784780445712	2489
Vdac3-ps1	-3.18701667018482	418
Dusp11	-3.18698196220332	6164
Cep170	-3.18644266379691	11647
Pdcd10	-3.18606699306187	1321
Ciz1	-3.18601513719455	2542
Fxr2	-3.18582094007342	1373
Ptplad1	-3.18552613091989	1470
Tspyl2	-3.18532942554954	935
Rgmb	-3.1844451024112	2151
Sdf2	-3.18284130040344	646
Pex5l	-3.1814990351783	8139
Tmem43	-3.18063536585336	2388
Bend5	-3.1803630563592	767
Tbc1d22a	-3.18013687574833	1562
Snx10	-3.17962016787871	3869
Snhg1	-3.17956494306235	958
Clk2	-3.17850989922763	1847
Atp6v0e	-3.17829994855112	3783
Rfxank	-3.17827579610077	2587
Bccip	-3.17753320140259	1225
Mtif3	-3.17663391816554	4019
Fam58b	-3.1764964530647	404
Lin54	-3.17559521197419	4103
Med22	-3.17490485735948	2821
Ppp1r26	-3.17465565758283	2186
AB352175	-3.17463338826697	2178
Asb3	-3.17454277004381	6363
Wdr36	-3.1744192806721	619
Bphl	-3.17436798383305	1582
Tvp23b	-3.1736198052875	1568
Mtmr3	-3.17276562744322	2966
Nln	-3.17201246738785	1811
Coq4	-3.17196727118276	1709
Gpr137c	-3.1718824272514	3345
Gnpda2	-3.17097883244215	1927
Ubox5	-3.17082022414695	2737
Pknox2	-3.17029648069159	5346
Pygo1	-3.16966943751331	6394
Akirin2	-3.16803270353983	1141
Trim41	-3.16785274084583	889
Flrt1	-3.16738358084462	7664
1110059G10Rik	-3.16466164639816	2986
Meaf6	-3.16450286765161	4330
Tmem47	-3.1644048090456	3422
Fam124a	-3.16391456705226	3490
Rusc2	-3.16200519742446	3197
Flii	-3.16108847050303	1469
Spats2	-3.15869552545448	1549
Zik1	-3.15862019272137	2553
Ap5s1	-3.158457250104	1252
Trappc4	-3.15832213616694	571
Vps16	-3.15821767459827	1937
Srprb	-3.15754726170675	2442
Gm15210	-3.15610704891779	1661
Elmo2	-3.15503094098063	3389
Spast	-3.15475856789781	2801
Pphln1	-3.15473850434001	2745
Gemin5	-3.15335253947439	1757
Tjp1	-3.15303654275447	1705
Pagr1a	-3.15233909502839	237
Atp11b	-3.15187811916167	2380
Tcerg1l	-3.1517434816298	2216
Acbd5	-3.15102967850802	1995
Ino80c	-3.15086236861893	1795
Cox11	-3.15062694129025	1424
Klhl18	-3.15031854502859	3092
B3galt1	-3.14992805491062	3958
Scaper	-3.14969314818166	885
Tm9sf2	-3.14954886844923	995
Phf8	-3.14938530076525	5003
Gcc2	-3.1488641917918	3351
Atp2b3	-3.14874367715068	5327
Hs6st1	-3.14802792219082	2225
Asap2	-3.14788381705019	2378
Lrch2	-3.14757436887497	2705
Utp18	-3.14712934172345	2784
Dis3	-3.14707466731774	2384
Epc2	-3.14698760516531	1950
Mta1	-3.1433492647256	884
Rrp15	-3.14114285054891	569
Slc16a1	-3.13861532193361	2740
Btg1	-3.13828655559903	4170
Gpc1	-3.13701226980035	1634
Blcap	-3.13690652763893	2073
Zfp318	-3.13629871989538	8162
Vcp-rs	-3.13623392405705	2406
Ankhd1	-3.13608721236176	1945
Foxk2	-3.13602901882669	3375
Ezh1	-3.13580789766034	5309
C2cd2l	-3.13399575868392	2298
Slc35c2	-3.13178716159576	2896
Neto1	-3.13177911252838	985
Hps4	-3.13056803331767	1791
Syngr3	-3.12984896184298	1168
AK214897	-3.12940424021699	260
Wrb	-3.12838918020352	3704
Sirt5	-3.12789397351648	391
Krr1	-3.12679175175612	4924
Pex5	-3.12343163874179	1868
Dtymk	-3.12256421009285	2637
Poldip3	-3.12250086434884	4527
Gpr85	-3.12100167324748	1381
Ube2f	-3.12062036372991	6071
Usp10	-3.12017544640477	2236
Pigm	-3.11969560210463	6129
Ubtf	-3.11927677075511	3126
Tmem11	-3.11880748181056	380
Akap8l	-3.11791094479503	1213
Fdft1	-3.11784336865343	1599
Abhd17b	-3.1175862886713	1540
1110001A16Rik	-3.11711954330697	1072
4930506M07Rik	-3.11626773488954	3767
Actr3b	-3.11590347004741	732
Nt5c2	-3.11528434603076	8640
Sestd1	-3.11518281522398	6888
Ppp1r12c	-3.11468468379397	2191
Scai	-3.11418618216333	9578
Gmps	-3.11394533473563	9161
